label;nz;tf;TF;entropy
A:amount-value-R:N:later;10;90;90;1.974561253763446
A:as-arg-R:N:early;2;2;2;1.0
A:as-arg-R:N:often;2;2;2;1.0
A:comp1-R:N:like;10;11;11;3.277613436819116
A:comp1-R:N:worth;4;4;4;2.0
A:subj-R:N:British;2;2;2;1.0
A:subj-R:N:Incorporated;3;3;3;1.584962500721156
A:subj-R:N:Limited;6;6;6;2.584962500721156
A:subj-R:N:able;58;80;80;5.396204889750235
A:subj-R:N:about;7;9;9;2.7254805569978684
A:subj-R:N:absent;5;5;5;2.3219280948873626
A:subj-R:N:abundant;3;3;3;1.584962500721156
A:subj-R:N:acceptable;4;4;4;2.0
A:subj-R:N:accessible;3;3;3;1.584962500721156
A:subj-R:N:accidental;2;2;2;1.0
A:subj-R:N:active;7;7;7;2.807354922057604
A:subj-R:N:acyclic;2;2;2;1.0
A:subj-R:N:affected;8;8;8;3.0
A:subj-R:N:afraid;3;6;6;1.2516291673878228
A:subj-R:N:akin;5;5;5;2.3219280948873626
A:subj-R:N:algebraic;1;2;2;0.0
A:subj-R:N:alive;4;4;4;2.0
A:subj-R:N:alkylated;2;2;2;1.0
A:subj-R:N:ambiguous;8;8;8;3.0
A:subj-R:N:analogous;2;3;3;0.9182958340544896
A:subj-R:N:ancient;2;2;2;1.0
A:subj-R:N:anisotropic;6;6;6;2.584962500721156
A:subj-R:N:anxious;2;2;2;1.0
A:subj-R:N:appropriate;2;2;2;1.0
A:subj-R:N:apt;3;3;3;1.584962500721156
A:subj-R:N:attested;4;4;4;2.0
A:subj-R:N:attributable;2;2;2;1.0
A:subj-R:N:available;35;40;40;5.021928094887362
A:subj-R:N:aware;4;6;6;1.7924812503605778
A:subj-R:N:away;2;2;2;1.0
A:subj-R:N:bacteriostatic;2;2;2;1.0
A:subj-R:N:based;13;14;14;3.6644977792004623
A:subj-R:N:beautiful;2;2;2;1.0
A:subj-R:N:beneficial;5;5;5;2.3219280948873626
A:subj-R:N:best;5;5;5;2.3219280948873626
A:subj-R:N:better;6;6;6;2.584962500721156
A:subj-R:N:born;12;25;25;2.511737433422466
A:subj-R:N:bound;3;3;3;1.584962500721156
A:subj-R:N:broad;2;2;2;1.0
A:subj-R:N:busy;3;3;3;1.584962500721156
A:subj-R:N:capable;14;15;15;3.773557262275185
A:subj-R:N:capital;2;2;2;1.0
A:subj-R:N:certain;3;3;3;1.584962500721156
A:subj-R:N:characteristic;2;2;2;1.0
A:subj-R:N:chiral;2;2;2;1.0
A:subj-R:N:classed;3;3;3;1.584962500721156
A:subj-R:N:clear;7;7;7;2.807354922057604
A:subj-R:N:close;7;7;7;2.807354922057604
A:subj-R:N:cold;5;5;5;2.3219280948873626
A:subj-R:N:comfortable;1;3;3;0.0
A:subj-R:N:common;25;25;25;4.643856189774723
A:subj-R:N:comparable;6;6;6;2.584962500721156
A:subj-R:N:compatible;4;4;4;2.0
A:subj-R:N:compelled;2;4;4;0.8112781244591328
A:subj-R:N:complete;3;3;3;1.584962500721156
A:subj-R:N:complex;2;2;2;1.0
A:subj-R:N:concerned;3;3;3;1.584962500721156
A:subj-R:N:conclusive;2;2;2;1.0
A:subj-R:N:confusing;2;2;2;1.0
A:subj-R:N:conjugate;2;2;2;1.0
A:subj-R:N:consistent;11;12;12;3.418295834054489
A:subj-R:N:contrastive;1;1;1;0.0
A:subj-R:N:controversial;2;2;2;1.0
A:subj-R:N:convenient;2;2;2;1.0
A:subj-R:N:cool;2;2;2;1.0
A:subj-R:N:correct;1;2;2;0.0
A:subj-R:N:corrupt;2;2;2;1.0
A:subj-R:N:critical;6;7;7;2.521640636343318
A:subj-R:N:dangerous;5;5;5;2.3219280948873626
A:subj-R:N:dead;4;5;5;1.9219280948873623
A:subj-R:N:deciduous;2;2;2;1.0
A:subj-R:N:decisive;1;2;2;0.0
A:subj-R:N:decorative;2;2;2;1.0
A:subj-R:N:dense;2;2;2;1.0
A:subj-R:N:dependent;5;5;5;2.3219280948873626
A:subj-R:N:desirable;2;2;2;1.0
A:subj-R:N:destructive;2;2;2;1.0
A:subj-R:N:determined;8;8;8;3.0
A:subj-R:N:devoted;3;3;3;1.584962500721156
A:subj-R:N:different;25;27;27;4.606739354015323
A:subj-R:N:difficult;14;15;15;3.773557262275185
A:subj-R:N:distant;2;2;2;1.0
A:subj-R:N:distinct;6;7;7;2.521640636343318
