label;nz;tf;TF;entropy
a;6;6;6;2.584962500721156
aardvark;34;67;67;4.312597497094127
aardwolf;36;48;48;4.78226822961739
abaci;6;6;6;2.584962500721156
abacus;69;130;130;5.340330660915712
abalone;66;114;114;5.5944928923249755
abandonment;12;17;17;3.337175341123077
abb;8;9;9;2.94770277922009
abbess;22;31;31;4.284683810317086
abbey;55;108;108;4.961693670626603
abbot;129;266;266;5.858745502514732
abbreviation;70;119;119;5.669359360290056
abdication;3;6;6;1.584962500721156
abdomen;4;5;5;1.9219280948873623
abduction;6;6;6;2.584962500721156
aberration;10;13;13;3.180832987205441
ability;121;250;250;5.838626767237847
abjad;18;24;24;4.001629167387824
abjads;18;19;19;4.142664355548851
abnormality;7;8;8;2.75
abode;8;9;9;2.9477027792200903
abolition;6;13;13;2.192005835492107
abolitionist;12;14;14;3.521640636343319
abortifacient;6;6;6;2.584962500721156
abortion;125;220;220;6.299910261032854
above;4;8;8;1.75
abracadabra;6;6;6;2.584962500721156
abscess;48;71;71;5.161285014330256
absence;34;99;99;4.010393638048529
absenteeism;5;5;5;2.3219280948873626
absorber;7;8;8;2.75
absorption;29;41;41;4.616953761286369
abstention;8;9;9;2.9477027792200903
abstract;29;37;37;4.715813838426505
abstraction;12;16;16;3.4056390622295662
absurd;6;11;11;2.2998963911678914
absurdity;11;17;17;3.1248435485091473
abugida;28;45;45;4.3354286515006155
abugidas;21;21;21;4.39231742277876
abundance;42;77;77;4.725863764333621
abuse;41;51;51;5.25066504776901
acacia;54;96;96;5.200020278187725
academia;6;9;9;2.4193819456463714
academic;24;28;28;4.521640636343317
academy;76;165;165;5.239041313642166
acceleration;12;14;14;3.521640636343319
accelerator;6;8;8;2.5
accent;21;27;27;4.310443057719025
acceptance;41;62;62;4.979899988506768
acceptor;10;10;10;3.321928094887362
access;60;91;91;5.554268267306751
accessibility;11;11;11;3.459431618637298
accession;24;42;42;4.196154780932868
accessory;9;10;10;3.121928094887362
accident;35;59;59;4.7810546008925
acclaim;9;9;9;3.169925001442312
accolade;9;9;9;3.169925001442312
accommodation;15;17;17;3.8521687236032816
accompaniment;5;5;5;2.3219280948873626
accomplishment;33;41;41;4.9488962118823885
accord;20;27;27;4.1804513908921015
accordance;4;26;26;1.3726608774610891
account;169;386;386;6.475959969065027
accounting;10;12;12;3.188721875540867
accreditation;5;5;5;2.3219280948873626
accumulation;6;9;9;2.2810361125534233
accuracy;22;31;31;4.220167681284828
accusation;19;26;26;3.9210296217376137
accused;26;46;46;4.044451086115538
ace;12;15;15;3.373557262275185
acetate;6;8;8;2.4056390622295662
acetone;5;5;5;2.3219280948873626
acetyl;8;9;9;2.9477027792200903
acetylene;33;48;48;4.641150648454356
ache;8;8;8;3.0
achievement;65;111;111;5.532173882085955
acid;164;419;419;6.576265422715242
acidity;15;19;19;3.7871439606981414
acolyte;5;6;6;2.251629167387823
acoustic;10;16;16;3.0243974703476995
acoustician;5;5;5;2.3219280948873626
acoustics;15;21;21;3.5585186130489057
acquaintance;17;18;18;4.058813890331201
acquisition;22;32;32;4.073391110799899
acre;41;75;75;4.811239886342543
acreage;4;5;5;1.9219280948873625
acronym;11;11;11;3.459431618637298
acropolis;21;43;43;3.6200438969019415
act;145;344;344;5.980937865410707
actinium;31;38;38;4.82687488186464
action;211;434;434;6.855937890136667
active;36;57;57;4.730628234808415
activism;9;10;10;3.1219280948873624
activist;24;31;31;4.453880987666651
activity;222;402;402;7.117480413136743
actor;86;147;147;5.890959955102778
actress;36;50;50;4.9157287506433915
actuality;5;6;6;2.2516291673878226
acumen;5;5;5;2.3219280948873626
acupuncture;38;65;65;4.802610697410851
acupuncturists;14;17;17;3.734521664779752
acute;4;4;4;2.0
acyl;9;9;9;3.169925001442312
adaptation;68;123;123;5.349909656385774
addition;78;340;340;3.6268577598465837
additive;6;7;7;2.521640636343318
additivity;6;14;14;2.217021885879718
address;45;75;75;5.03703098402583
adherence;10;13;13;3.180832987205441
adherent;29;37;37;4.628108095241734
adhesion;5;6;6;2.2516291673878226
adiabat;7;7;7;2.807354922057604
adiabats;9;11;11;3.0957952550009344
adjective;24;35;35;4.400432302535624
adjustment;11;11;11;3.459431618637298
administration;135;249;249;6.149172413237622
administrator;28;37;37;4.682162149295789
admiral;19;23;23;4.088779347361362
admiration;10;13;13;3.180832987205441
admirer;21;31;31;4.143892585265464
admission;20;34;34;3.910992253015045
admitting;5;5;5;2.3219280948873626
adobe;35;54;54;4.8014811418789485
adolescent;5;6;6;2.2516291673878226
adonis;29;36;36;4.760067015271103
adoption;39;71;71;4.53384492298073
adoration;10;11;11;3.2776134368191165
adult;48;83;83;5.192138112462781
